STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1516,ALL_RATE_1516,MAM_COHORT_1516,MAM_RATE_1516,MAS_COHORT_1516,MAS_RATE_1516,MBL_COHORT_1516,MBL_RATE_1516,MHI_COHORT_1516,MHI_RATE_1516,MTR_COHORT_1516,MTR_RATE_1516,MWH_COHORT_1516,MWH_RATE_1516,CWD_COHORT_1516,CWD_RATE_1516,ECD_COHORT_1516,ECD_RATE_1516,LEP_COHORT_1516,LEP_RATE_1516,DATE_CUR
ALABAMA,1,100005,Albertville City,10000500871,Albertville High Sch,296,92,2,PS,1,PS,9,GE50,91,GE95,.,.,193,90-94,18,60-79,108,80-84,9,GE50,01JUL17
ALABAMA,1,100006,Marshall County,10000600872,Asbury Sch,67,GE95,2,PS,.,.,1,PS,17,GE80,.,.,47,GE90,7,GE50,54,GE90,2,PS,01JUL17
ALABAMA,1,100006,Marshall County,10000600878,Douglas High Sch,153,85-89,.,.,.,.,2,PS,35,GE90,.,.,116,85-89,13,GE50,107,85-89,1,PS,01JUL17
ALABAMA,1,100006,Marshall County,10000600883,Kate D Smith DAR High Sch,120,80-84,.,.,.,.,.,.,2,PS,.,.,118,80-84,16,21-39,57,60-69,.,.,01JUL17
ALABAMA,1,100006,Marshall County,10000601585,Brindlee Mt High Sch,94,85-89,2,PS,1,PS,1,PS,2,PS,1,PS,87,85-89,15,GE50,56,80-89,.,.,01JUL17
ALABAMA,1,100007,Hoover City,10000700251,Hoover High Sch,714,92,.,.,48,GE90,217,85-89,35,80-89,8,GE50,406,94,53,60-69,142,85-89,7,GE50,01JUL17
ALABAMA,1,100007,Hoover City,10000700337,Berry Middle Sch,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,1,PS,1,PS,.,.,01JUL17
ALABAMA,1,100007,Hoover City,10000701456,Spain Park High Sch,412,94,.,.,17,GE80,96,90-94,19,GE80,8,GE50,272,GE95,28,60-79,80,80-84,1,PS,01JUL17
ALABAMA,1,100008,Madison City,10000800831,Bob Jones High Sch,451,97,2,PS,39,GE90,106,GE95,13,GE50,11,GE50,280,GE95,22,GE80,92,GE95,4,PS,01JUL17
ALABAMA,1,100008,Madison City,10000802198,James Clemens High School,404,96,1,PS,24,GE80,97,GE95,19,GE80,9,GE50,254,GE95,25,60-79,70,85-89,3,PS,01JUL17
ALABAMA,1,100011,Leeds City,10001102096,Leeds High Sch,123,90-94,.,.,1,PS,38,GE90,14,GE50,4,PS,66,GE95,16,60-79,60,80-89,1,PS,01JUL17
ALABAMA,1,100012,Boaz City,10001200874,Boaz High Sch,151,80-84,.,.,2,PS,.,.,20,60-79,5,PS,124,85-89,14,GE50,77,70-74,7,GE50,01JUL17
ALABAMA,1,100013,Trussville City,10001301682,Hewitt-Trussville High Sch,381,96,1,PS,9,GE50,52,GE90,6,GE50,1,PS,312,95,26,60-79,45,GE90,4,PS,01JUL17
ALABAMA,1,100030,Alexander City,10003000001,Alexander City Middle Sch,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,1,PS,1,PS,.,.,01JUL17
ALABAMA,1,100030,Alexander City,10003000003,Benjamin Russell High Sch,268,90-94,.,.,2,PS,106,85-89,3,PS,1,PS,156,90-94,44,70-79,139,85-89,1,PS,01JUL17
ALABAMA,1,100060,Andalusia City,10006000007,Andalusia High Sch,99,90-94,.,.,2,PS,39,80-89,2,PS,2,PS,54,GE90,10,GE50,46,80-89,.,.,01JUL17
ALABAMA,1,100090,Anniston City,10009000011,Anniston High Sch,154,75-79,.,.,.,.,143,75-79,4,PS,.,.,7,GE50,17,21-39,99,70-74,.,.,01JUL17
ALABAMA,1,100100,Arab City,10010000028,Arab High Sch,199,90-94,1,PS,1,PS,1,PS,4,PS,.,.,192,90-94,20,60-79,66,80-84,.,.,01JUL17
ALABAMA,1,100120,Athens City,10012001472,Athens High Sch,287,90,1,PS,5,PS,83,80-84,24,GE80,1,PS,173,90-94,21,40-59,114,80-84,2,PS,01JUL17
ALABAMA,1,100180,Attalla City,10018000033,Etowah High Sch,207,83,.,.,.,.,32,80-89,17,GE80,8,GE50,150,80-84,29,40-59,140,80-84,2,PS,01JUL17
ALABAMA,1,100185,Saraland City,10018502137,Saraland High Sch,243,92,2,PS,1,PS,36,GE90,2,PS,.,.,202,90-94,23,60-79,111,90-94,1,PS,01JUL17
ALABAMA,1,100188,Chickasaw City,10018802194,Chickasaw City High Sch,53,70-79,.,.,.,.,40,80-89,1,PS,.,.,12,GE50,10,GE50,36,70-79,.,.,01JUL17
ALABAMA,1,100189,Satsuma City,10018902195,Satsuma City High School,103,85-89,1,PS,.,.,12,GE50,.,.,.,.,90,90-94,9,GE50,40,80-89,.,.,01JUL17
ALABAMA,1,100190,Alabaster City,10019001183,Thompson High School,435,97,1,PS,2,PS,93,GE95,56,GE90,.,.,283,GE95,37,80-89,134,GE95,8,GE50,01JUL17
ALABAMA,1,100194,Pelham City,10019402399,Pelham High School,220,95,.,.,6,GE50,35,GE90,50,GE90,.,.,129,GE95,10,LT50,61,90-94,3,PS,01JUL17
ALABAMA,1,100210,Auburn City,10021000036,Auburn High Sch,568,89,1,PS,51,80-89,165,80-84,19,GE80,3,PS,329,93,52,50-59,138,80-84,7,GE50,01JUL17
ALABAMA,1,100210,Auburn City,10021000037,Auburn Jr High Sch,6,LT50,.,.,3,PS,2,PS,.,.,.,.,1,PS,1,PS,2,PS,1,PS,01JUL17
ALABAMA,1,100240,Autauga County,10024000045,Billingsley High Sch,48,80-89,.,.,.,.,8,GE50,.,.,2,PS,38,80-89,3,PS,22,60-79,.,.,01JUL17
ALABAMA,1,100240,Autauga County,10024000046,Marbury Sch,147,80-84,.,.,.,.,22,GE80,3,PS,1,PS,121,85-89,12,LT50,53,70-79,.,.,01JUL17
ALABAMA,1,100240,Autauga County,10024000048,Prattville High Sch,514,87,4,PS,9,GE50,130,80-84,8,GE50,4,PS,359,88,48,40-49,172,70-74,3,PS,01JUL17
ALABAMA,1,100240,Autauga County,10024001408,Autaugaville Sch,33,80-89,.,.,.,.,33,80-89,.,.,.,.,.,.,6,LT50,27,GE80,.,.,01JUL17
ALABAMA,1,100270,Baldwin County,10027000024,Robertsdale High Sch,402,75,5,PS,1,PS,39,70-79,20,60-79,3,PS,334,76,56,30-39,214,65-69,3,PS,01JUL17
ALABAMA,1,100270,Baldwin County,10027000100,Fairhope High Sch,362,91,4,PS,3,PS,34,70-79,8,GE50,2,PS,311,94,33,50-59,85,80-84,.,.,01JUL17
ALABAMA,1,100270,Baldwin County,10027000641,Gulf Shores High Sch,220,84,.,.,6,GE50,4,PS,8,GE50,.,.,202,80-84,22,40-59,72,70-74,3,PS,01JUL17
ALABAMA,1,100270,Baldwin County,10027001713,Foley Intermediate Sch,1,PS,.,.,.,.,.,.,1,PS,.,.,.,.,.,.,.,.,.,.,01JUL17
ALABAMA,1,100270,Baldwin County,10027001759,Daphne High Sch,311,92,1,PS,6,GE50,81,90-94,9,GE50,5,PS,209,90-94,29,60-79,95,85-89,2,PS,01JUL17
ALABAMA,1,100270,Baldwin County,10027001784,Foley High Sch,460,80,3,PS,1,PS,75,85-89,48,60-69,8,GE50,325,80,75,55-59,247,75-79,12,LT50,01JUL17
ALABAMA,1,100270,Baldwin County,10027001810,Baldwin Co High Sch,340,80,5,PS,4,PS,98,80-84,2,PS,3,PS,228,75-79,61,55-59,195,75-79,1,PS,01JUL17
ALABAMA,1,100270,Baldwin County,10027002073,Spanish Fort High Sch,287,87,4,PS,3,PS,33,70-79,10,GE50,2,PS,235,85-89,33,40-49,53,70-79,1,PS,01JUL17
ALABAMA,1,100300,Barbour County,10030000074,Barbour Co High Sch,66,85-89,.,.,.,.,62,85-89,1,PS,.,.,3,PS,12,LT50,43,80-89,.,.,01JUL17
ALABAMA,1,100330,Bessemer City,10033000087,Jess Lanier High Sch,333,79,.,.,.,.,310,80,19,60-79,.,.,4,PS,53,50-59,188,70-74,3,PS,01JUL17
ALABAMA,1,100360,Bibb County,10036000092,Bibb Co High Sch,122,75-79,.,.,.,.,44,70-79,1,PS,.,.,77,75-79,19,40-59,72,70-74,1,PS,01JUL17
ALABAMA,1,100360,Bibb County,10036000099,West Blocton High Sch,128,90-94,.,.,.,.,17,GE80,2,PS,.,.,109,90-94,9,GE50,64,85-89,.,.,01JUL17
ALABAMA,1,100390,Birmingham City,10039000141,Huffman High Sch-Magnet,399,80,3,PS,.,.,375,81,15,LT50,3,PS,3,PS,72,30-34,208,80-84,4,PS,01JUL17
ALABAMA,1,100390,Birmingham City,10039000164,Jackson-Olin High Sch,326,77,1,PS,.,.,323,77,2,PS,.,.,.,.,54,50-59,202,70-74,1,PS,01JUL17
ALABAMA,1,100390,Birmingham City,10039000165,Parker High Sch,276,69,3,PS,.,.,264,65-69,4,PS,3,PS,2,PS,46,30-39,157,60-64,1,PS,01JUL17
ALABAMA,1,100390,Birmingham City,10039000176,Ramsay High Sch,197,GE95,.,.,1,PS,191,GE95,3,PS,1,PS,1,PS,.,.,49,GE90,.,.,01JUL17
ALABAMA,1,100390,Birmingham City,10039000192,Wenonah High Sch,210,77,.,.,.,.,207,75-79,1,PS,.,.,2,PS,33,50-59,115,65-69,.,.,01JUL17
ALABAMA,1,100390,Birmingham City,10039000198,Woodlawn High Sch-Magnet,233,68,1,PS,1,PS,216,65-69,6,GE50,1,PS,8,GE50,51,40-49,151,70-74,1,PS,01JUL17
ALABAMA,1,100390,Birmingham City,10039001296,Adolescent Day Treatment,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,1,PS,.,.,.,.,01JUL17
ALABAMA,1,100390,Birmingham City,10039001468,George Washington Carver High Sch,254,75,1,PS,1,PS,231,75-79,16,40-59,3,PS,2,PS,40,50-59,159,75-79,9,LT50,01JUL17
ALABAMA,1,100390,Birmingham City,10039001761,Family Court High Sch,14,LT50,.,.,.,.,10,LT50,.,.,1,PS,3,PS,1,PS,7,LT50,.,.,01JUL17
ALABAMA,1,100420,Blount County,10042000203,Appalachian ?Sch,46,80-89,.,.,.,.,.,.,13,GE50,.,.,33,80-89,5,PS,22,GE80,1,PS,01JUL17
ALABAMA,1,100420,Blount County,10042000206,Cleveland High Sch,53,GE90,.,.,.,.,1,PS,7,GE50,1,PS,44,GE90,2,PS,21,GE80,.,.,01JUL17
ALABAMA,1,100420,Blount County,10042000208,Hayden High Sch,172,GE95,.,.,1,PS,1,PS,.,.,3,PS,167,GE95,11,GE50,47,GE90,.,.,01JUL17
ALABAMA,1,100420,Blount County,10042000209,JB Pennington High Sch,108,85-89,1,PS,.,.,.,.,11,GE50,.,.,96,85-89,10,GE50,57,70-79,2,PS,01JUL17
ALABAMA,1,100420,Blount County,10042000210,Locust Fork High Sch,99,90-94,.,.,.,.,1,PS,6,GE50,.,.,92,90-94,5,PS,45,80-89,.,.,01JUL17
ALABAMA,1,100420,Blount County,10042000211,Southeastern Elem Sch,46,GE90,.,.,.,.,2,PS,8,GE50,.,.,36,GE90,2,PS,24,GE80,.,.,01JUL17
ALABAMA,1,100420,Blount County,10042000213,Susan Moore High Sch,80,90-94,.,.,.,.,.,.,21,GE80,.,.,59,GE90,6,GE50,55,GE90,.,.,01JUL17
ALABAMA,1,100450,Brewton City,10045000216,TR Miller High Sch,87,90-94,.,.,1,PS,30,GE80,1,PS,.,.,55,GE90,2,PS,29,60-79,1,PS,01JUL17
ALABAMA,1,100480,Bullock County,10048000218,Bullock Co High Sch,125,85-89,.,.,.,.,116,85-89,9,GE50,.,.,.,.,18,60-79,116,85-89,4,PS,01JUL17
ALABAMA,1,100510,Butler County,10051000226,Greenville High Sch,194,70-74,.,.,2,PS,142,75-79,2,PS,.,.,48,70-79,35,50-59,147,70-74,2,PS,01JUL17
ALABAMA,1,100510,Butler County,10051000229,McKenzie High Sch,31,80-89,.,.,.,.,7,GE50,.,.,.,.,24,GE80,2,PS,18,GE80,.,.,01JUL17
ALABAMA,1,100510,Butler County,10051002144,Georgiana School,38,80-89,.,.,.,.,25,GE80,.,.,1,PS,12,GE50,6,GE50,34,80-89,.,.,01JUL17
ALABAMA,1,100540,Calhoun County,10054000232,Alexandria High Sch,180,85-89,1,PS,2,PS,25,GE80,1,PS,.,.,151,85-89,25,40-59,90,75-79,1,PS,01JUL17
ALABAMA,1,100540,Calhoun County,10054000240,Ohatchee High Sch,85,GE95,.,.,.,.,2,PS,.,.,.,.,83,GE95,11,GE50,36,80-89,.,.,01JUL17
ALABAMA,1,100540,Calhoun County,10054000243,Saks High Sch,109,90-94,.,.,2,PS,45,GE90,6,GE50,2,PS,54,80-89,11,GE50,73,GE95,2,PS,01JUL17
ALABAMA,1,100540,Calhoun County,10054000247,Weaver High Sch,90,90-94,1,PS,2,PS,16,GE80,3,PS,2,PS,66,85-89,13,GE50,56,80-89,.,.,01JUL17
ALABAMA,1,100540,Calhoun County,10054000250,White Plains High Sch,101,GE95,.,.,.,.,7,GE50,2,PS,.,.,92,GE95,8,GE50,39,GE90,.,.,01JUL17
ALABAMA,1,100540,Calhoun County,10054001488,Pleasant Valley High Sch,78,90-94,.,.,.,.,1,PS,.,.,.,.,77,90-94,9,GE50,34,70-79,.,.,01JUL17
ALABAMA,1,100540,Calhoun County,10054001489,Wellborn High Sch,101,80-84,.,.,.,.,21,GE80,.,.,.,.,80,80-84,14,GE50,81,75-79,.,.,01JUL17
ALABAMA,1,100600,Chambers County,10060000263,Lafayette High Sch,62,75-79,.,.,.,.,52,80-89,.,.,.,.,10,LT50,10,LT50,56,80-89,.,.,01JUL17
ALABAMA,1,100600,Chambers County,10060000271,Valley High Sch,213,81,.,.,1,PS,82,80-84,3,PS,6,GE50,121,80-84,26,40-59,112,75-79,1,PS,01JUL17
ALABAMA,1,100630,Cherokee County,10063000274,Cedar Bluff High Sch,50,GE90,2,PS,.,.,10,GE50,.,.,.,.,38,GE90,3,PS,34,80-89,.,.,01JUL17
ALABAMA,1,100630,Cherokee County,10063000278,Cherokee Co High Sch,106,90-94,8,GE50,.,.,8,GE50,.,.,.,.,90,90-94,13,GE50,62,90-94,.,.,01JUL17
ALABAMA,1,100630,Cherokee County,10063000279,Gaylesville High Sch,30,GE80,7,GE50,.,.,.,.,.,.,.,.,23,GE80,2,PS,27,GE80,.,.,01JUL17
ALABAMA,1,100630,Cherokee County,10063000282,Sand Rock High Sch,79,GE95,4,PS,.,.,.,.,2,PS,.,.,73,GE95,4,PS,35,GE90,.,.,01JUL17
ALABAMA,1,100630,Cherokee County,10063000283,Spring Garden High Sch,42,GE90,3,PS,.,.,1,PS,.,.,.,.,38,80-89,7,GE50,23,GE80,.,.,01JUL17
ALABAMA,1,100660,Chilton County,10066000261,Isabella High Sch,30,GE80,.,.,.,.,1,PS,2,PS,.,.,27,GE80,4,PS,16,GE80,.,.,01JUL17
ALABAMA,1,100660,Chilton County,10066000262,Jemison High Sch,164,80-84,.,.,.,.,18,GE80,28,GE80,.,.,118,75-79,15,LT50,95,75-79,3,PS,01JUL17
ALABAMA,1,100660,Chilton County,10066000265,Maplesville High Sch,50,GE90,.,.,.,.,9,GE50,1,PS,1,PS,39,GE90,6,GE50,31,GE90,.,.,01JUL17
ALABAMA,1,100660,Chilton County,10066000270,Thorsby High Sch,66,85-89,.,.,.,.,1,PS,8,GE50,.,.,57,80-89,9,GE50,32,80-89,1,PS,01JUL17
ALABAMA,1,100660,Chilton County,10066000288,Verbena High Sch,45,80-89,.,.,.,.,7,GE50,1,PS,1,PS,36,80-89,3,PS,27,60-79,.,.,01JUL17
ALABAMA,1,100660,Chilton County,10066001491,Chilton Co High Sch,217,81,.,.,4,PS,31,50-59,7,GE50,3,PS,172,85-89,23,21-39,109,65-69,1,PS,01JUL17
ALABAMA,1,100690,Choctaw County,10069000291,Choctaw Co High Sch,61,70-74,.,.,.,.,46,70-79,1,PS,.,.,14,GE50,8,LT50,36,60-69,.,.,01JUL17
ALABAMA,1,100690,Choctaw County,10069000297,Southern Choctaw High Sch,73,75-79,.,.,.,.,33,80-89,1,PS,.,.,39,60-69,7,LT50,28,60-79,.,.,01JUL17
ALABAMA,1,100720,Clarke County,10072000298,Clarke Co High Sch,100,85-89,1,PS,.,.,69,90-94,1,PS,.,.,29,60-79,6,GE50,48,70-79,1,PS,01JUL17
ALABAMA,1,100720,Clarke County,10072001493,Jackson High Sch,159,85-89,.,.,1,PS,111,85-89,2,PS,.,.,45,80-89,14,LT50,73,75-79,.,.,01JUL17
ALABAMA,1,100750,Clay County,10075002210,Future Clay Co High Sch,174,85-89,.,.,2,PS,32,GE90,3,PS,1,PS,136,85-89,19,40-59,97,80-84,.,.,01JUL17
ALABAMA,1,100780,Cleburne County,10078000318,Cleburne Co High Sch,112,90-94,.,.,.,.,4,PS,3,PS,2,PS,103,90-94,14,GE50,49,GE90,.,.,01JUL17
ALABAMA,1,100780,Cleburne County,10078000321,Ranburne High Sch,56,GE90,.,.,.,.,.,.,.,.,.,.,56,GE90,5,PS,25,GE80,.,.,01JUL17
ALABAMA,1,100810,Coffee County,10081000323,Kinston Sch,45,GE90,.,.,.,.,.,.,.,.,.,.,45,GE90,2,PS,19,GE80,.,.,01JUL17
ALABAMA,1,100810,Coffee County,10081000327,Zion Chapel High Sch,48,GE90,2,PS,.,.,1,PS,.,.,.,.,45,GE90,3,PS,26,GE80,.,.,01JUL17
ALABAMA,1,100810,Coffee County,10081001494,New Brockton High Sch,66,90-94,3,PS,.,.,11,GE50,.,.,.,.,52,GE90,7,LT50,26,GE80,.,.,01JUL17
ALABAMA,1,100840,Colbert County,10084000333,Cherokee High Sch,45,GE90,.,.,.,.,4,PS,1,PS,.,.,40,GE90,9,GE50,34,GE90,1,PS,01JUL17
ALABAMA,1,100840,Colbert County,10084000334,Colbert Co High Sch,80,80-84,1,PS,.,.,25,60-79,3,PS,.,.,51,80-89,15,GE50,48,80-89,.,.,01JUL17
ALABAMA,1,100840,Colbert County,10084000335,Colbert Heights High Sch,86,85-89,.,.,.,.,2,PS,1,PS,.,.,83,80-84,13,GE50,58,80-89,.,.,01JUL17
ALABAMA,1,100870,Conecuh County,10087001766,Hillcrest High Sch,96,75-79,.,.,.,.,92,75-79,.,.,.,.,4,PS,10,LT50,77,70-74,.,.,01JUL17
ALABAMA,1,100900,Coosa County,10090001749,Central High Sch,94,80-84,.,.,.,.,40,80-89,2,PS,2,PS,50,80-89,12,LT50,56,70-79,.,.,01JUL17
ALABAMA,1,100930,Covington County,10093000360,Florala High Sch,32,80-89,.,.,.,.,5,PS,.,.,.,.,27,GE80,6,GE50,23,GE80,.,.,01JUL17
ALABAMA,1,100930,Covington County,10093000361,Pleasant Home Sch,48,80-89,.,.,.,.,1,PS,1,PS,.,.,46,80-89,4,PS,22,GE80,.,.,01JUL17
ALABAMA,1,100930,Covington County,10093000362,Red Level High Sch,45,GE90,.,.,.,.,9,GE50,.,.,1,PS,35,GE90,6,GE50,44,GE90,.,.,01JUL17
ALABAMA,1,100930,Covington County,10093000363,Straughn High Sch,103,GE95,.,.,1,PS,5,PS,.,.,.,.,97,GE95,11,GE50,101,GE95,.,.,01JUL17
ALABAMA,1,100960,Crenshaw County,10096000365,Brantley High Sch,51,80-89,.,.,.,.,16,GE80,.,.,1,PS,34,GE90,4,PS,31,80-89,.,.,01JUL17
ALABAMA,1,100960,Crenshaw County,10096000367,Highland Home High Sch,44,GE90,.,.,.,.,18,GE80,.,.,.,.,26,GE80,12,GE50,33,GE90,.,.,01JUL17
ALABAMA,1,100960,Crenshaw County,10096000368,Luverne High Sch,66,90-94,.,.,1,PS,36,GE90,.,.,1,PS,28,GE80,11,GE50,51,GE90,.,.,01JUL17
ALABAMA,1,100990,Cullman City,10099000370,Cullman High Sch,230,93,.,.,1,PS,5,PS,16,60-79,2,PS,206,GE95,17,40-59,54,80-89,1,PS,01JUL17
ALABAMA,1,101020,Cullman County,10102000374,Cold Springs High Sch,69,90-94,1,PS,.,.,.,.,1,PS,.,.,67,90-94,3,PS,30,60-79,.,.,01JUL17
ALABAMA,1,101020,Cullman County,10102000377,Fairview High Sch,143,80-84,.,.,.,.,1,PS,11,GE50,4,PS,127,75-79,28,21-39,69,75-79,1,PS,01JUL17
ALABAMA,1,101020,Cullman County,10102000379,Good Hope High Sch,93,85-89,.,.,.,.,.,.,9,GE50,5,PS,79,80-84,10,GE50,42,70-79,1,PS,01JUL17
ALABAMA,1,101020,Cullman County,10102000380,Hanceville High Sch,87,85-89,.,.,.,.,8,GE50,12,GE50,5,PS,62,85-89,9,GE50,53,80-89,.,.,01JUL17
ALABAMA,1,101020,Cullman County,10102000381,Holly Pond High Sch,70,85-89,.,.,.,.,.,.,6,GE50,4,PS,60,80-89,8,GE50,37,80-89,.,.,01JUL17
ALABAMA,1,101020,Cullman County,10102000385,Vinemont High Sch,88,80-84,1,PS,.,.,.,.,5,PS,5,PS,77,80-84,17,40-59,46,80-89,1,PS,01JUL17
ALABAMA,1,101020,Cullman County,10102000387,West Point High Sch,134,90-94,.,.,.,.,3,PS,8,GE50,7,GE50,116,90-94,16,60-79,63,85-89,.,.,01JUL17
ALABAMA,1,101020,Cullman County,10102001497,Cullman Child Dev Ctr,5,PS,.,.,.,.,.,.,1,PS,.,.,4,PS,5,PS,4,PS,.,.,01JUL17
ALABAMA,1,101050,Dale County,10105000388,Ariton Sch,46,GE90,1,PS,1,PS,7,GE50,2,PS,.,.,35,GE90,3,PS,16,GE80,.,.,01JUL17
ALABAMA,1,101050,Dale County,10105000389,Dale Co High Sch,104,75-79,.,.,.,.,27,GE80,2,PS,1,PS,74,70-74,9,LT50,73,70-74,.,.,01JUL17
ALABAMA,1,101050,Dale County,10105000390,George W Long High Sch,44,GE90,.,.,.,.,6,GE50,2,PS,.,.,36,GE90,2,PS,14,GE50,1,PS,01JUL17
ALABAMA,1,101080,Daleville City,10108000394,Daleville High Sch,83,85-89,.,.,1,PS,29,GE80,14,GE50,2,PS,37,70-79,12,GE50,42,70-79,4,PS,01JUL17
ALABAMA,1,101110,Dallas County,10111000397,Dallas Co High Sch,152,85-89,.,.,.,.,78,85-89,2,PS,.,.,72,80-84,29,40-59,62,80-84,.,.,01JUL17
ALABAMA,1,101110,Dallas County,10111000402,Keith Middle-High Sch,53,GE90,.,.,.,.,53,GE90,.,.,.,.,.,.,9,GE50,32,GE90,.,.,01JUL17
ALABAMA,1,101110,Dallas County,10111000406,Southside High Sch,127,90-94,.,.,.,.,127,90-94,.,.,.,.,.,.,15,GE50,97,90-94,.,.,01JUL17
ALABAMA,1,101140,Dekalb County,10114000411,Collinsville High Sch,68,75-79,9,GE50,.,.,7,GE50,24,GE80,.,.,28,60-79,10,LT50,34,60-69,2,PS,01JUL17
ALABAMA,1,101140,Dekalb County,10114000415,Fyffe High Sch,65,90-94,17,GE80,.,.,.,.,2,PS,.,.,46,GE90,10,GE50,32,80-89,.,.,01JUL17
ALABAMA,1,101140,Dekalb County,10114000416,Geraldine Sch,93,90-94,22,GE80,.,.,1,PS,13,GE50,1,PS,56,80-89,11,GE50,53,80-89,2,PS,01JUL17
ALABAMA,1,101140,Dekalb County,10114000419,Ider Sch,66,85-89,10,GE50,.,.,.,.,1,PS,1,PS,54,80-89,10,GE50,37,80-89,1,PS,01JUL17
ALABAMA,1,101140,Dekalb County,10114000422,Plainview Sch,89,GE95,6,GE50,.,.,.,.,8,GE50,.,.,75,GE95,7,GE50,42,GE90,.,.,01JUL17
ALABAMA,1,101140,Dekalb County,10114000424,Sylvania Sch,82,85-89,9,GE50,.,.,.,.,6,GE50,.,.,67,85-89,10,GE50,47,80-89,1,PS,01JUL17
ALABAMA,1,101140,Dekalb County,10114000425,Valley Head High Sch,42,GE90,4,PS,.,.,1,PS,9,GE50,.,.,28,GE80,3,PS,28,GE80,.,.,01JUL17
ALABAMA,1,101140,Dekalb County,10114001860,Crossville High Sch,136,80-84,7,GE50,.,.,1,PS,79,85-89,.,.,49,80-89,11,LT50,56,80-89,13,GE50,01JUL17
ALABAMA,1,101140,Dekalb County,10114002357,South Dekalb Primary School,1,PS,.,.,.,.,.,.,1,PS,.,.,.,.,.,.,1,PS,.,.,01JUL17
ALABAMA,1,101170,Decatur City,10117000426,Austin High Sch,405,90,.,.,6,GE50,155,80-84,75,90-94,3,PS,166,90-94,60,50-59,225,85-89,12,GE50,01JUL17
ALABAMA,1,101170,Decatur City,10117000429,Decatur High Sch,235,88,1,PS,4,PS,73,85-89,44,80-89,1,PS,112,90-94,30,60-79,130,80-84,8,GE50,01JUL17
ALABAMA,1,101170,Decatur City,10117002175,Decatur High Dev,12,LT50,.,.,.,.,5,PS,1,PS,.,.,6,LT50,11,LT50,11,LT50,1,PS,01JUL17
ALABAMA,1,101200,Demopolis City,10120000148,Demopolis High Sch,169,90-94,.,.,1,PS,93,GE95,4,PS,.,.,71,85-89,10,GE50,96,90-94,2,PS,01JUL17
ALABAMA,1,101230,Dothan City,10123000445,Dothan High Sch,326,90,.,.,.,.,202,85-89,12,GE50,4,PS,108,90-94,46,50-59,223,85-89,1,PS,01JUL17
ALABAMA,1,101230,Dothan City,10123001501,Northview High Sch,321,88,.,.,7,GE50,152,85-89,11,GE50,1,PS,150,90-94,32,50-59,161,85-89,5,PS,01JUL17
ALABAMA,1,101260,Elba City,10126000461,Elba High Sch,68,GE95,1,PS,.,.,28,GE80,3,PS,.,.,36,GE90,8,GE50,24,GE80,1,PS,01JUL17
ALABAMA,1,101290,Elmore County,10129000463,Elmore Co High Sch,110,90-94,1,PS,.,.,20,GE80,.,.,1,PS,88,85-89,13,GE50,59,80-89,.,.,01JUL17
ALABAMA,1,101290,Elmore County,10129000465,Holtville High Sch,133,75-79,.,.,1,PS,11,GE50,3,PS,3,PS,115,75-79,17,LE20,76,60-64,.,.,01JUL17
ALABAMA,1,101290,Elmore County,10129000468,Stanhope Elmore High Sch,275,87,2,PS,7,GE50,116,85-89,11,GE50,6,GE50,133,85-89,39,40-49,143,80-84,2,PS,01JUL17
ALABAMA,1,101290,Elmore County,10129000471,Wetumpka High Sch,274,88,1,PS,3,PS,87,80-84,6,GE50,5,PS,172,90-94,34,40-49,120,75-79,3,PS,01JUL17
ALABAMA,1,101320,Enterprise City,10132000475,Dauphin Jr High Sch,2,PS,.,.,.,.,.,.,1,PS,.,.,1,PS,1,PS,2,PS,.,.,01JUL17
ALABAMA,1,101320,Enterprise City,10132000476,Enterprise High Sch,522,95,1,PS,7,GE50,106,90-94,39,GE90,14,GE50,355,95,42,60-69,181,90-94,.,.,01JUL17
ALABAMA,1,101350,Escambia County,10135000484,Escambia Co High Sch,125,80-84,8,GE50,.,.,94,80-84,1,PS,.,.,22,60-79,9,LT50,108,80-84,.,.,01JUL17
ALABAMA,1,101350,Escambia County,10135000487,Flomaton High Sch,82,80-84,3,PS,.,.,17,GE80,.,.,.,.,62,80-84,8,GE50,35,70-79,.,.,01JUL17
ALABAMA,1,101350,Escambia County,10135000492,W S Neal High Sch,111,80-84,1,PS,.,.,30,GE80,2,PS,1,PS,77,75-79,8,GE50,80,75-79,.,.,01JUL17
ALABAMA,1,101380,Etowah County,10138000496,Gaston High Sch,63,GE95,1,PS,.,.,5,PS,1,PS,1,PS,55,GE90,10,GE50,38,GE90,.,.,01JUL17
ALABAMA,1,101380,Etowah County,10138000498,Glencoe High Sch,94,85-89,.,.,2,PS,.,.,1,PS,.,.,91,85-89,10,GE50,41,80-89,.,.,01JUL17
ALABAMA,1,101380,Etowah County,10138000505,Sardis High Sch,87,90-94,1,PS,.,.,2,PS,2,PS,.,.,82,90-94,7,GE50,43,80-89,1,PS,01JUL17
ALABAMA,1,101380,Etowah County,10138000506,Southside High Sch,231,91,.,.,6,GE50,7,GE50,1,PS,1,PS,216,90-94,23,GE80,77,75-79,3,PS,01JUL17
